message_id,message,label,reason,topic,writing_style,difficulty,scenario_group,source,split,reviewer_1,reviewer_2,review_status
TR-C-01-1,My mother has collapsed and is not responding when I call her name.,Critical,Unresponsive person may face an immediate threat to life.,medical,plain,clear,train-critical-01,synthetic_team_dataset_v1,train,,,Pending
TR-C-01-2,Please have a person check this message: my mother has collapsed and is not responding when I call her name.,Critical,Unresponsive person may face an immediate threat to life.,medical,formal_context,clear,train-critical-01,synthetic_team_dataset_v1,train,,,Pending
TR-C-01-3,I am contacting the service because my mother has collapsed and is not responding when I call her name.,Critical,Unresponsive person may face an immediate threat to life.,medical,detailed_context,clear,train-critical-01,synthetic_team_dataset_v1,train,,,Pending
TR-C-01-4,pls check this msg: my mother has collapsed ands not responding when i call her name,Critical,Unresponsive person may face an immediate threat to life.,medical,informal_or_typo,clear,train-critical-01,synthetic_team_dataset_v1,train,,,Pending
TR-C-02-1,Smoke is filling the kitchen and two children are still inside the unit.,Critical,Active fire or smoke with children inside is an immediate emergency.,fire,plain,clear,train-critical-02,synthetic_team_dataset_v1,train,,,Pending
TR-C-02-2,Please have a person check this message: smoke is filling the kitchen and two children are still inside the unit.,Critical,Active fire or smoke with children inside is an immediate emergency.,fire,formal_context,clear,train-critical-02,synthetic_team_dataset_v1,train,,,Pending
TR-C-02-3,I am contacting the service because smoke is filling the kitchen and two children are still inside the unit.,Critical,Active fire or smoke with children inside is an immediate emergency.,fire,detailed_context,clear,train-critical-02,synthetic_team_dataset_v1,train,,,Pending
TR-C-02-4,pls check this msg: smokes filling the kitchen and two children are still inside the unit,Critical,Active fire or smoke with children inside is an immediate emergency.,fire,informal_or_typo,clear,train-critical-02,synthetic_team_dataset_v1,train,,,Pending
TR-C-03-1,I can smell strong gas in the house and everyone is feeling dizzy.,Critical,Possible gas exposure with symptoms requires immediate escalation.,utilities,plain,clear,train-critical-03,synthetic_team_dataset_v1,train,,,Pending
TR-C-03-2,Please have a person check this message: i can smell strong gas in the house and everyone is feeling dizzy.,Critical,Possible gas exposure with symptoms requires immediate escalation.,utilities,formal_context,clear,train-critical-03,synthetic_team_dataset_v1,train,,,Pending
TR-C-03-3,I am contacting the service because i can smell strong gas in the house and everyone is feeling dizzy.,Critical,Possible gas exposure with symptoms requires immediate escalation.,utilities,detailed_context,clear,train-critical-03,synthetic_team_dataset_v1,train,,,Pending
TR-C-03-4,pls check this msg: i can smell strong gas in the house and everyones feeling dizzy,Critical,Possible gas exposure with symptoms requires immediate escalation.,utilities,informal_or_typo,clear,train-critical-03,synthetic_team_dataset_v1,train,,,Pending
TR-C-04-1,A man outside is holding a knife and threatening people at the bus stop.,Critical,Active weapon threat creates immediate danger to people.,violence,plain,clear,train-critical-04,synthetic_team_dataset_v1,train,,,Pending
TR-C-04-2,Please have a person check this message: a man outside is holding a knife and threatening people at the bus stop.,Critical,Active weapon threat creates immediate danger to people.,violence,formal_context,clear,train-critical-04,synthetic_team_dataset_v1,train,,,Pending
